#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   -0.001158218      0.13412296      0.11576293   -4.429553e-19    -0.045906991     -0.13426967   7.3564519e-21   9.6520951e-19   8.4242657e-19  -2.4991017e-35       5.4034592    0.0071516594   1.5978695e-22     0.041072913   0.00018572715       221.14651
   -0.000955701      0.13454017       0.1153874  -8.7982088e-20    -0.046281785     -0.13468962   2.4663402e-20  -1.1338565e-19  -1.3402054e-19  -4.9174962e-36       5.4034866    0.0071752372  -1.7308385e-23      0.04104216     0.000185716        220.9942
 -0.00077883757      0.13490294      0.11505852   3.3568157e-19    -0.046610021     -0.13505475   1.1987563e-20   8.1621315e-19   6.6148115e-19   -1.153868e-35       5.4035105     0.007195765   5.3735774e-23      0.04101534   0.00018570627       220.86136
 -0.00062437811      0.13521854      0.11477061  -7.4527415e-19    -0.046897374     -0.13537239   1.7641799e-20   1.1913775e-18   9.9652566e-19  -2.8889395e-36       5.4035315     0.007213644   1.0923358e-22     0.040991945   0.00018569778       220.74548
 -0.00048948463      0.13549323      0.11451865   -9.579432e-19    -0.047148853     -0.13564885   1.9613384e-20  -1.5626852e-18  -1.3475792e-18   6.3234584e-36       5.4035499    0.0072292211  -9.1353046e-23     0.040971535   0.00018569037       220.64437
 -0.00037167862      0.13573239      0.11429822   4.8471128e-19    -0.047368875     -0.13588957  -1.0162779e-20   -2.647681e-18  -2.2502159e-18   -1.920305e-35        5.403566    0.0072427967  -1.6227656e-22     0.040953727    0.0001856839       220.55616
 -0.00026879555      0.13594071      0.11410541   3.5391975e-19    -0.047561329     -0.13609923  -2.2940324e-20  -4.6736338e-19   -3.564337e-19  -5.1306192e-35       5.4035801     0.007254631   -2.897345e-23     0.040938186   0.00018567825       220.47917
 -0.00017894507      0.13612216      0.11393664  -7.7123935e-19    -0.047729634     -0.13628192   5.2478439e-21  -1.8239544e-18  -1.4790744e-18  -3.2639274e-35       5.4035924    0.0072649497  -5.3190101e-23     0.040924624   0.00018567332       220.41198
  -0.0001004763      0.13628009      0.11378861   4.4594774e-19    -0.047876794     -0.13644114   1.3897402e-20  -4.5275588e-18  -3.7861902e-18  -2.4571164e-36       5.4036031    0.0072739486  -1.4768527e-22     0.040912787   0.00018566901       220.35334
 -3.1947465e-05      0.13641827      0.11365782   2.0813937e-18    -0.048006367     -0.13658096   5.7098077e-21  -9.3235539e-19  -8.1754281e-19     1.79855e-35       5.4036126    0.0072818551  -4.0734876e-23     0.040902377   0.00018566522       220.30177
  2.9991242e-05       0.1365433      0.11353891    1.419789e-18    -0.048124314     -0.13670801   7.9860269e-21   4.5222501e-18   3.6979617e-18   3.7461947e-36       5.4036212    0.0072890406   1.0955428e-22       0.0408929   0.00018566178       220.25481
  9.0286504e-05      0.13666369      0.11342505  -4.1728767e-19    -0.048237869     -0.13683012  -3.5223227e-21   5.7474315e-18    4.759008e-18  -1.4603332e-36       5.4036295    0.0072959485   1.4083403e-22     0.040883774   0.00018565845        220.2096
  0.00015121058      0.13678489      0.11331152  -9.3374415e-19    -0.048351577     -0.13695215  -1.2668302e-20   2.3573948e-18   2.0057173e-18   9.0674336e-35       5.4036379    0.0073028542   5.7866853e-23     0.040874643   0.00018565513       220.16436
  0.00021277004      0.13690784      0.11319685  -8.9684441e-20    -0.048466566     -0.13707527   9.4012851e-22   1.0613054e-18   8.9487314e-19  -1.7877056e-35       5.4036463    0.0073098249   2.7581344e-23     0.040865421   0.00018565177       220.11867
   0.0002749715      0.13703203       0.1130809    -6.55691e-19    -0.048582851     -0.13719949   1.8011379e-20    1.864418e-18   1.5233851e-18  -5.2821722e-35       5.4036548    0.0073168611   4.7616449e-23     0.040856106   0.00018564838       220.07252
  0.00033782165      0.13715724      0.11296365  -1.4691553e-18    -0.048700447     -0.13732482   5.7060454e-21  -2.1304843e-18  -1.7649362e-18   1.5125636e-34       5.4036634    0.0073239634  -5.7448313e-23     0.040846699   0.00018564495       220.02591
  0.00040132727      0.13728353      0.11284508   2.1075091e-19     -0.04881937     -0.13745127  -2.4814188e-20  -5.1805661e-18    -4.21846e-18   5.1182346e-35       5.4036721    0.0073311322  -1.3807572e-22     0.040837198   0.00018564149       219.97883
  0.00046549519      0.13741097      0.11272516   1.9688457e-18    -0.048939636     -0.13757883  -3.6754088e-20  -1.0235629e-18   -7.050602e-19  -4.6736061e-35       5.4036809    0.0073383682  -2.6778361e-23     0.040827602   0.00018563799       219.93128
  0.00053033231      0.13753954      0.11260389   6.3291419e-19    -0.049061259     -0.13770753  -1.9621244e-20   4.2653307e-18   3.6321244e-18   1.7233172e-35       5.4036899    0.0073456718   1.1682492e-22      0.04081791   0.00018563446       219.88326
  0.00059584562      0.13766926      0.11248124  -1.2010631e-18    -0.049184256     -0.13783736   6.4029598e-21   1.9271441e-18   1.6144959e-18  -1.0710245e-34       5.4036989    0.0073530436   5.2061394e-23     0.040808121   0.00018563089       219.83475
  0.00066204216      0.13780013       0.1123572  -7.1769701e-19    -0.049308643     -0.13796833   1.2340441e-20  -1.4788262e-18  -1.2209483e-18  -9.3218129e-35        5.403708    0.0073604841  -4.1666179e-23     0.040798236   0.00018562729       219.78577
  0.00072892907      0.13793214      0.11223176  -2.6533323e-19    -0.049434437     -0.13810046   6.7527012e-21  -1.4449825e-18   -1.186878e-18   5.4519155e-35       5.4037172    0.0073679939  -4.1492402e-23     0.040788251   0.00018562365       219.73629
  0.00079651354      0.13806532       0.1121049  -2.2291253e-19    -0.049561653     -0.13823375   1.9347024e-21  -2.6614088e-18  -2.2053215e-18   1.1024181e-34       5.4037265    0.0073755734  -7.8214156e-23     0.040778168   0.00018561997       219.68632
  0.00086480285      0.13819967       0.1119766   5.2417556e-19    -0.049690309      -0.1383682  -3.1184108e-21  -2.4202336e-18  -2.0622946e-18   1.2507943e-35        5.403736    0.0073832233  -7.0670839e-23     0.040767984   0.00018561625       219.63585
  0.00093380434      0.13833518      0.11184685   9.2406953e-19    -0.049820422     -0.13850382   7.9663544e-22  -1.8647143e-19  -2.2185796e-19   -8.639103e-35       5.4037455    0.0073909441  -4.5805564e-24     0.040757699    0.0001856125       219.58489
   0.0010035254      0.13847186      0.11171562   1.0252424e-18    -0.049952008     -0.13864062    7.054277e-21   1.8546811e-18    1.510572e-18  -1.1999325e-35       5.4037552    0.0073987363    5.698073e-23     0.040747312    0.0001856087       219.53341
   0.0010739737      0.13860973      0.11158291   3.6289818e-19    -0.050085086     -0.13877861   1.5022183e-20   4.4470501e-18   3.5565187e-18   9.7043033e-35       5.4037649    0.0074066004   1.3966929e-22     0.040736821   0.00018560487       219.48142
   0.0011451566      0.13874878      0.11144869  -1.5628827e-18    -0.050219673      -0.1389178   3.8120099e-20   3.3880015e-18   2.6197445e-18  -1.6263614e-35       5.4037748    0.0074145371   1.0716641e-22     0.040726227     0.000185601       219.42891
   0.0012170819      0.13888902      0.11131295  -1.8971869e-18    -0.050355787     -0.13905819   2.1779747e-20  -2.6938539e-18  -2.2189414e-18   -5.671178e-35       5.4037848    0.0074225469  -8.7448068e-23     0.040715527    0.0001855971       219.37588
   0.0012897573      0.13903046      0.11117567    6.354864e-20    -0.050493446     -0.13919978  -3.7068829e-20  -5.0933767e-18  -3.9946934e-18   1.7533545e-34       5.4037949    0.0074306302  -1.6674634e-22     0.040704721   0.00018559315       219.32233
   0.0013631906      0.13917311      0.11103683   1.1969714e-18    -0.050632669     -0.13934259  -4.6700381e-20  -2.2735624e-18   -1.640374e-18   -3.127724e-35       5.4038051    0.0074387877    -7.64087e-23     0.040693809   0.00018558916       219.26824
   0.0014373898      0.13931696      0.11089641   6.7294319e-19    -0.050773474     -0.13948662  -8.2916133e-21   3.1702408e-19   3.4460198e-19  -1.4581906e-34       5.4038154      0.00744702   1.0449607e-23     0.040682788   0.00018558513       219.21362
   0.0015123628      0.13946203       0.1107544  -1.4449795e-19    -0.050915879     -0.13963188    1.291323e-20   6.9702651e-19   5.0109874e-19   1.1358295e-35       5.4038259    0.0074553275   2.4474378e-23     0.040671658   0.00018558106       219.15845
   0.0015881177      0.13960832      0.11061077  -8.5668119e-19    -0.051059905     -0.13977837   8.5518649e-21  -3.4069859e-19  -3.3339318e-19  -5.3505164e-36       5.4038364    0.0074637108  -1.1649118e-23     0.040660418   0.00018557695       219.10274
   0.0016646626      0.13975585      0.11046551  -7.7667795e-19    -0.051205569     -0.13992611   4.3483878e-21  -3.0356035e-18  -2.4075605e-18  -4.5424786e-36       5.4038471    0.0074721705  -1.0758357e-22     0.040649066   0.00018557279       219.04647
   0.0017420058      0.13990462      0.11031859   9.4477039e-19    -0.051352892      -0.1400751   6.0644865e-21  -3.6572884e-18  -2.9171873e-18   3.6253804e-36       5.4038579    0.0074807072  -1.3011816e-22     0.040637603    0.0001855686       218.98965
   0.0018201557      0.14005464         0.11017   2.5754555e-18    -0.051501893     -0.14022534  -1.4217778e-21   1.1347768e-18   8.3705704e-19   4.2693657e-35       5.4038689    0.0074893213   4.3104663e-23     0.040626026   0.00018556436       218.93227
   0.0018991205      0.14020593      0.11001972   1.2165718e-18    -0.051652592     -0.14037684  -1.1636281e-20   7.4368002e-18   5.8433637e-18  -2.1626843e-35       5.4038799    0.0074980134   2.7596206e-22     0.040614335   0.00018556008       218.87431
   0.0019789089      0.14035848      0.10986772  -2.0708005e-18    -0.051805009     -0.14052961   1.1923833e-22   6.2159484e-18   4.8895515e-18  -3.4142179e-35       5.4038911    0.0075067842   2.3101072e-22     0.040602529   0.00018555576       218.81579
   0.0020595294      0.14051231        0.109714  -2.1509875e-18    -0.051959164     -0.14068365   6.0162114e-21  -1.5623954e-18  -1.2596758e-18  -1.2761915e-35       5.4039024    0.0075156341  -6.1318665e-23     0.040590606   0.00018555139       218.75668
   0.0021409906      0.14066743      0.10955852   2.1725239e-19    -0.052115077     -0.14083898  -4.9854803e-21  -2.9607107e-18  -2.3023837e-18  -9.6225432e-36       5.4039139    0.0075245637  -1.1354173e-22     0.040578566   0.00018554697         218.697
   0.0022233015      0.14082385      0.10940127   7.0286371e-19    -0.052272769     -0.14099559   2.2460364e-23  -5.8158573e-19  -3.7919461e-19   4.6580309e-35       5.4039255    0.0075335736  -2.3125328e-23     0.040566407   0.00018554252       218.63672
   0.0023064707      0.14098158      0.10924222   1.5668795e-20    -0.052432261     -0.14115349   9.6249435e-21   3.9375377e-20    4.575284e-20   2.9746147e-35       5.4039372    0.0075426642   1.6657288e-24     0.040554129   0.00018553802       218.57585
   0.0023905073      0.14114062      0.10908136  -7.8898492e-19    -0.052593574     -0.14131269   1.3517326e-20  -5.1581003e-19  -4.4009029e-19   1.9998743e-35       5.4039491    0.0075518363  -2.0739005e-23      0.04054173   0.00018553347       218.51437
   0.0024754204      0.14130098      0.10891866  -2.3070879e-19    -0.052756729      -0.1414732   9.1164107e-21  -3.2273853e-18  -2.5232425e-18  -6.1198987e-36        5.403961    0.0075610903  -1.3323287e-22     0.040529209   0.00018552887        218.4523
   0.0025612189      0.14146266      0.10875411   1.6668277e-18    -0.052921747     -0.14163501  -8.4459654e-21  -1.4089005e-18  -1.0868853e-18  -2.2815822e-35       5.4039732    0.0075704267    -5.73996e-23     0.040516565   0.00018552423       218.38961
   0.0026479123      0.14162568      0.10858768   1.3913428e-18     -0.05308865     -0.14179814  -2.6567691e-21   3.6861322e-18     2.82722e-18   2.3995413e-35       5.4039854    0.0075798462   1.5713633e-22     0.040503796   0.00018551955        218.3263
   0.0027355098      0.14179003      0.10841935  -7.1607764e-19    -0.053257461      -0.1419626   1.2214379e-20   4.2447349e-18   3.2178657e-18  -9.0877431e-37       5.4039979    0.0075893492   1.8221044e-22     0.040490903   0.00018551481       218.26237
