#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   3.113662e-05     -0.20907748  -2.9283464e-05  -7.2462534e-21       2829.5563      0.19273048   8.0670467e-19   2.2444703e-14    2.767903e-18  -1.1145036e-35      0.08898534   3.8204056e-06  -2.0517422e-23     0.011977816   6.2962622e-09       4021261.9
  5.3394177e-05     -0.35738552  -7.7792569e-05  -2.1959891e-21       2827.4421      0.35128111   5.7889089e-19   -2.806927e-14  -7.1711217e-18   2.4961494e-35      0.15199405   1.0058594e-05   2.0190248e-23     0.008155498   1.3389401e-08       863129.58
  7.7022295e-05      -0.5147255  -0.00015750193   3.1709041e-20       2824.6954      0.51137199  -1.7071225e-18  -7.2847643e-15   1.4671882e-18   5.2566878e-35      0.21882574   2.0378775e-05   9.0271673e-25    0.0065277403   2.3837466e-08       332063.75
  0.00010210537     -0.68158493  -0.00027395674   1.3893733e-20       2821.1641       0.6792905   5.0934848e-19   9.6644663e-14   2.3121124e-17  -1.9368785e-35      0.28969359   3.5464188e-05  -6.8353151e-23    0.0056047703   3.7885393e-08       167201.27
  0.00012873299     -0.85845222  -0.00043288018  -2.2742904e-20        2816.749      0.85585844   2.8602941e-18  -4.1133993e-14  -2.1083202e-17  -3.0311782e-35      0.36481913   5.6060727e-05   4.6129256e-23    0.0050108214   5.5900539e-08        97639.83
  0.00015700027      -1.0458049  -0.00064122041   9.3763794e-21        2811.324       1.0428989  -1.9968882e-18  -9.8679311e-14  -3.0068166e-17  -5.1698219e-35      0.44443121   8.3075816e-05   7.9214109e-23    0.0046055283   7.8368366e-08       62628.372
  0.00018700818      -1.2440957  -0.00090691563  -3.3050402e-21       2804.7467       1.2409962  -2.7315469e-18   8.2218827e-14   4.1896886e-17  -1.0184118e-34       0.5287649    0.0001175495  -9.4094471e-23    0.0043239657   1.0582049e-07       42921.716
  0.00021886389      -1.4537389   -0.0012388854  -3.7544461e-20       2796.8765        1.450471   2.0683106e-18   6.6503306e-14    2.999296e-17  -4.9416439e-35      0.61806055   0.00016065592  -6.9275152e-23    0.0041320014   1.3871989e-07       30962.925
  0.00025268119      -1.6750977   -0.0016471218  -1.2666885e-20       2787.5981       1.6716473   1.8683395e-18  -3.8342514e-14  -2.5222531e-17   1.5056204e-35      0.71256326   0.00021371849   5.4966941e-23    0.0040102503   1.7731211e-07        23317.87
  0.00028858087      -1.9084757   -0.0021427845   1.8756831e-20       2776.8414       1.9048295  -1.8489301e-18  -3.4238988e-14  -2.1901058e-17  -4.9462743e-36      0.81252327   0.00027822666   4.7675358e-23    0.0039472749   2.2147635e-07       18250.702
