#        face_x          face_y          face_z      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0020595294               0            0.05      -61.132432    -0.076183335   2.5120674e-19       24252.113       23.437376  -3.3979323e-18   -3.155054e-14  -3.0490616e-17   4.4205054e-36               0               0               0             0.1             0.1               0        11601891
   0.0021409906               0            0.05      -57.596324    -0.069076962  -3.3393187e-18       23777.635       22.097152  -1.6262496e-17   3.1260786e-14   2.9052758e-17  -2.1092357e-35               0               0               0             0.1             0.1               0        11601891
   0.0022233015               0            0.05      -54.356774    -0.062764109   1.7174394e-18       23325.514       20.868376  -7.1338385e-17   3.0981423e-14   2.7717828e-17  -9.4755842e-35               0               0               0             0.1             0.1               0        11601891
   0.0023064707               0            0.05      -51.382117    -0.057179719   2.9572299e-18       22893.988       19.739521  -1.7282631e-17  -8.6748172e-18  -9.6536235e-21   4.9926764e-37               0               0               0             0.1             0.1               0        11601891
   0.0023905073               0            0.05      -48.643074    -0.052247922   -1.416261e-18       22481.476       18.698948   3.1388102e-17  -3.0486418e-14  -2.5357072e-17  -4.2566749e-35               0               0               0             0.1             0.1               0        11601891
   0.0024754204               0            0.05      -46.114163    -0.047847601  -1.9150904e-19       22086.578       17.737262   2.1839825e-18   3.0270808e-14   2.4311632e-17   3.0241764e-36               0               0               0             0.1             0.1               0        11601891
   0.0025612189               0            0.05       -43.77413    -0.043907572   2.5347132e-19       21708.032       16.846838  -1.9026059e-17  -3.0051082e-14  -2.3320763e-17   2.6320562e-35               0               0               0             0.1             0.1               0        11601891
   0.0026479123               0            0.05      -41.604232    -0.040384875   -7.219066e-20       21344.699       16.020511  -4.2438916e-17   2.9853193e-14   2.2405192e-17  -5.9380886e-35               0               0               0             0.1             0.1               0        11601891
   0.0027355098               0            0.05      -39.587434    -0.037226647   4.7817325e-20       20995.552       15.251859   2.7400918e-17  -2.9684153e-14  -2.1564916e-17  -3.8724143e-35               0               0               0             0.1             0.1               0        11601891
   0.0028240209               0            0.05      -37.709288    -0.034360611  -2.2701246e-18       20659.666        14.53538   1.6484722e-17   2.9513436e-14   2.0765795e-17   2.3900977e-35               0               0               0             0.1             0.1               0        11601891
    0.002913455               0            0.05      -35.958039    -0.031751264    1.125857e-18       20336.195       13.867173   2.1749401e-18   2.9351337e-14   2.0015149e-17    3.047659e-36               0               0               0             0.1             0.1               0        11601891
   0.0030038219               0            0.05      -34.322839    -0.029391767   1.9946796e-18       20024.356       13.242872  -1.3236818e-17  -2.6942483e-18  -2.3071727e-21   1.5657685e-37               0               0               0             0.1             0.1               0        11601891
   0.0030951311               0            0.05      -32.793323    -0.027256568   1.8062062e-18       19723.437       12.658571   1.0071672e-17  -2.9058422e-14  -1.8649324e-17  -1.4977245e-35               0               0               0             0.1             0.1               0        11601891
   0.0031873927               0            0.05       -31.36011    -0.025322763   1.8299056e-20       19432.787       12.110684   7.5439112e-18  -5.7860143e-14  -3.6058506e-17  -2.2463958e-35               0               0               0             0.1             0.1               0        11601891
   0.0032806164               0            0.05       -30.01482    -0.023564215  -8.5560676e-20       19151.812       11.596012  -1.3792152e-17  -2.8817037e-14  -1.7449304e-17   2.0728588e-35               0               0               0             0.1             0.1               0        11601891
   0.0033748124               0            0.05      -28.750104    -0.021955761   6.8599717e-19       18879.968       11.111846    4.289108e-17  -5.7399544e-14  -3.3783393e-17  -1.3028465e-34               0               0               0             0.1             0.1               0        11601891
   0.0034699907               0            0.05       -27.55957    -0.020479773  -2.4144435e-18       18616.754       10.655867   1.8071799e-17   -5.717915e-14  -3.2727191e-17  -5.4978837e-35               0               0               0             0.1             0.1               0        11601891
   0.0035661616               0            0.05      -26.437769    -0.019117229  -8.1769316e-19       18361.708       10.225958   -1.963437e-17   2.8491267e-14   1.5866666e-17  -3.0585686e-35               0               0               0             0.1             0.1               0        11601891
   0.0036633356               0            0.05      -25.379873    -0.017863133   -6.825603e-19       18114.396        9.820479   3.0714897e-17  -2.8408163e-14  -1.5401719e-17  -4.8264366e-35               0               0               0             0.1             0.1               0        11601891
   0.0037615229               0            0.05      -24.381069    -0.016714803  -9.8964741e-20       17874.415       9.4374026  -1.7228069e-17   5.6644288e-14   2.9907824e-17  -5.4578311e-35               0               0               0             0.1             0.1               0        11601891
   0.0038607342               0            0.05      -23.436822    -0.015657986   1.4502365e-18       17641.393       9.0750769   8.2574659e-18  -2.8244323e-14  -1.4529683e-17  -1.3118085e-35               0               0               0             0.1             0.1               0        11601891
   0.0039609802               0            0.05      -22.543203    -0.014682145  -1.3484471e-18       17414.983        8.731991  -4.0567708e-20   1.5296708e-18   9.9625808e-22   9.1498984e-38               0               0               0             0.1             0.1               0        11601891
   0.0040622717               0            0.05      -21.696617    -0.013782994  -1.2279798e-18       17194.865       8.4068616  -2.7415584e-17   2.8108027e-14   1.3742937e-17   -4.463875e-35               0               0               0             0.1             0.1               0        11601891
   0.0041646195               0            0.05      -20.893634    -0.012954484   6.1988488e-19       16980.738       8.0982769   -1.520458e-17   5.6088908e-14   2.6749339e-17    -5.02221e-35               0               0               0             0.1             0.1               0        11601891
   0.0042680347               0            0.05      -20.131087    -0.012188624   8.5000921e-20       16772.325       7.8051394  -9.3861314e-18   1.3524922e-18   8.1888365e-22  -5.7107238e-39               0               0               0             0.1             0.1               0        11601891
   0.0043725284               0            0.05      -19.406282    -0.011476927  -1.5317902e-20       16569.368       7.5263257  -2.3435464e-17   5.5877657e-14   2.5381384e-17  -7.9032452e-35               0               0               0             0.1             0.1               0        11601891
   0.0044781119               0            0.05      -18.717024    -0.010806944   7.7342471e-20       16371.626       7.2610618   8.8220338e-18  -2.5823984e-20  -1.4910402e-23   1.0670984e-40               0               0               0             0.1             0.1               0        11601891
   0.0045847965               0            0.05      -18.061323    -0.010181523  -5.1464252e-19       16178.867       7.0087542  -2.2290922e-17   5.5704707e-14    2.413152e-17  -7.6748105e-35               0               0               0             0.1             0.1               0        11601891
   0.0046925938               0            0.05      -17.437106   -0.0096027911   2.0422536e-18       15990.872        6.768441   -2.336387e-17   2.7812404e-14   1.1771697e-17  -4.0243332e-35               0               0               0             0.1             0.1               0        11601891
   0.0048015152               0            0.05      -16.842262   -0.0090653568   3.3689936e-20       15807.435       6.5393666   2.9559714e-17  -5.5567001e-14  -2.2987478e-17  -1.0390945e-34               0               0               0             0.1             0.1               0        11601891
   0.0049115726               0            0.05      -16.274835   -0.0085669713  -5.6702051e-20       15628.367       6.3207743   1.6682094e-18   2.7755258e-14   1.1225408e-17   2.9628084e-36               0               0               0             0.1             0.1               0        11601891
   0.0050227778               0            0.05      -15.733051   -0.0081040463   1.8390515e-18       15453.489       6.1119664   3.6324569e-17  -5.5464709e-14   -2.193705e-17  -1.3001735e-34               0               0               0             0.1             0.1               0        11601891
   0.0051351427               0            0.05      -15.215318   -0.0076713886   -4.931325e-19       15282.633       5.9123146   2.5992971e-17  -8.3129889e-14   -3.215993e-17  -1.4136049e-34               0               0               0             0.1             0.1               0        11601891
   0.0052486795               0            0.05       -14.72024   -0.0072653202  -1.7668162e-18       15115.642       5.7213381   2.1048235e-17  -2.7691477e-14  -1.0481136e-17  -3.8341626e-35               0               0               0             0.1             0.1               0        11601891
   0.0053634003               0            0.05      -14.246594   -0.0068828299  -1.2570906e-18       14952.368       5.5385581   1.3855796e-18   2.7682464e-14   1.0254249e-17   2.7933905e-36               0               0               0             0.1             0.1               0        11601891
   0.0054793176               0            0.05      -13.793283   -0.0065246226   4.2305078e-19       14792.668       5.3636157  -2.6190846e-17   5.5341361e-14   2.0066197e-17  -9.8032769e-35               0               0               0             0.1             0.1               0        11601891
   0.0055964437               0            0.05      -13.359289   -0.0061887466   4.4632823e-19       14636.406       5.1959627  -7.0644932e-18  -8.0908271e-19  -3.7481097e-22   2.7031114e-38               0               0               0             0.1             0.1               0        11601891
   0.0057147914               0            0.05      -12.943557   -0.0058714539  -3.7520389e-19       14483.455       5.0353094  -1.2368286e-17   2.7658701e-14   9.6157271e-18  -2.3642091e-35               0               0               0             0.1             0.1               0        11601891
   0.0058343733               0            0.05      -12.545033   -0.0055733003   3.6689326e-19        14333.69       4.8812781  -1.2104631e-17   2.7657455e-14   9.4184777e-18  -2.3314554e-35               0               0               0             0.1             0.1               0        11601891
   0.0059552024               0            0.05      -12.162763   -0.0052944669   3.6244291e-19       14186.998       4.7335256   -6.821223e-18   6.8471577e-19   2.9805768e-22  -2.0404112e-38               0               0               0             0.1             0.1               0        11601891
   0.0060772915               0            0.05      -11.795854   -0.0050332349    3.431774e-19       14043.268       4.5916373    -6.62427e-18   2.8149115e-20   1.2011093e-23  -8.1894364e-40               0               0               0             0.1             0.1               0        11601891
    0.006200654               0            0.05      -11.443429   -0.0047879862  -3.2921813e-19       13902.399       4.4553365   5.1075879e-18  -2.7674824e-14   -8.869023e-18  -1.0168193e-35               0               0               0             0.1             0.1               0        11601891
   0.0063253029               0            0.05       -11.10467   -0.0045577021  -3.4960926e-19       13764.291       4.3242735   -1.781714e-17   2.7686891e-14   8.6984037e-18  -3.5797774e-35               0               0               0             0.1             0.1               0        11601891
   0.0064512519               0            0.05      -10.778892   -0.0043400341  -2.8494585e-19       13628.855       4.1982064  -6.2894212e-18   5.9460915e-19   2.3941458e-22   1.5718814e-38               0               0               0             0.1             0.1               0        11601891
   0.0065785143               0            0.05      -10.465517   -0.0041333596  -3.0507733e-19       13496.003        4.076897  -2.1856066e-17   5.5430313e-14   1.6744491e-17  -8.9766108e-35               0               0               0             0.1             0.1               0        11601891
    0.006707104               0            0.05      -10.164018   -0.0039365108   3.4489348e-20       13365.648       3.9601788  -1.6650929e-17   2.7732597e-14    8.216937e-18  -3.4546894e-35               0               0               0             0.1             0.1               0        11601891
   0.0068370347               0            0.05      -9.8738938   -0.0037501752  -2.8108349e-19       13237.711        3.847866  -1.5047762e-17   5.5508338e-14   1.6134767e-17  -6.3129828e-35               0               0               0             0.1             0.1               0        11601891
   0.0069683205               0            0.05      -9.5946293   -0.0035753868   5.6901452e-19       13112.112       3.7397376  -9.0242608e-18   5.5555119e-14   1.5844922e-17  -3.8175023e-35               0               0               0             0.1             0.1               0        11601891
   0.0071009754               0            0.05      -9.3256695   -0.0034115097   5.5663483e-19       12988.775       3.6355297   1.1422474e-17  -1.0240921e-20  -3.7463264e-24   6.1126478e-40               0               0               0             0.1             0.1               0        11601891
   0.0072350138               0            0.05      -9.0664467    -0.003255096  -2.6526289e-19        12867.63        3.535041  -1.4768287e-19     1.41973e-18    5.097209e-22   4.1537958e-38               0               0               0             0.1             0.1               0        11601891
