#            face_x              face_y              face_z                 U_x                 U_y                 U_z   wallShearStress_x   wallShearStress_y   wallShearStress_z               yPlus                   p
               3.64                 0.1                0.05                   0                   0                   0    -0.0242430320191  -1.77131655957e-05                   0       3.27350563808       1.30964192555
               3.72                 0.1                0.05                   0                   0                   0    -0.0245530301345  -1.45192111281e-06                   0       3.29436987211       1.29460177583
                3.8                 0.1                0.05                   0                   0                   0    -0.0241120232901   8.19182159877e-06                   0       3.26465135242       1.27939843404
               3.88                 0.1                0.05                   0                   0                   0    -0.0231453614374   1.21055439954e-05                   0       3.19854222124       1.25888917914
               3.96                 0.1                0.05                   0                   0                   0    -0.0220185324636   1.29295967644e-05                   0       3.11971091436       1.24369074864
               4.04                 0.1                0.05                   0                   0                   0    -0.0209105256636    1.1643499691e-05                   0       3.04020383364       1.22076916283
               4.12                 0.1                0.05                   0                   0                   0    -0.0201922434152   8.03108603433e-06                   0       2.98753295493       1.20783286427
                4.2                 0.1                0.05                   0                   0                   0    -0.0198102414518  -3.09572590676e-06                   0       2.95913776642       1.18595117573
               4.28                 0.1                0.05                   0                   0                   0    -0.0199138514793  -1.08838030642e-06                   0       2.96686497636       1.17603909023
               4.36                 0.1                0.05                   0                   0                   0    -0.0201957521265  -5.00309373906e-06                   0       2.98779289738       1.15188748224
               4.44                 0.1                0.05                   0                   0                   0    -0.0209268648352  -2.10650797693e-05                   0       3.04139681559       1.14690624441
               4.52                 0.1                0.05                   0                   0                   0    -0.0234970378569  -5.75145557211e-05                   0       3.22275494331       1.11664413414
                4.6                 0.1                0.05                   0                   0                   0     -0.029298286439  -5.31745230608e-05                   0       3.59866946557       1.11726105921
               4.68                 0.1                0.05                   0                   0                   0    -0.0337837031672  -7.93442051023e-05                   0       3.86433517051       1.04994696007
               4.76                 0.1                0.05                   0                   0                   0    -0.0263284093237  -5.77629899725e-05                   0       3.41138217734      0.973204830748
               4.84                 0.1                0.05                   0                   0                   0    -0.0185003279427    0.00010128211097                   0       2.85962215815      0.648702604564
               4.92                 0.1                0.05                   0                   0                   0    -0.0156273990397   2.55177853362e-05                   0       2.62824909042      0.361521038756
                  5                 0.1                0.05                   0                   0                   0    -0.0160737661438  -3.19780125967e-05                   0       2.66551703321     0.0133985105636
               5.08                 0.1                0.05                   0                   0                   0    -0.0205979574844    -8.878570051e-05                   0       3.01744290406     -0.208633719201
               5.16                 0.1                0.05                   0                   0                   0     -0.028506820328  -0.000362507207977                   0       3.54978585924     -0.454495890319
               5.24                 0.1                0.05                   0                   0                   0    -0.0443998975988  -9.70395502497e-05                   0       4.43004508929     -0.594953388228
               5.32                 0.1                0.05                   0                   0                   0    -0.0516816160643  -3.05587404621e-05                   0       4.77956419846      -0.40390008192
                5.4                 0.1                0.05                   0                   0                   0    -0.0607790956624  -0.000102684963708                   0       5.18319731757     -0.565736414096
               5.48                 0.1                0.05                   0                   0                   0    -0.0712444463912  -8.27773285532e-05    1.1708547476e-18       5.61171187237     -0.200466384912
               5.56                 0.1                0.05                   0                   0                   0    -0.0754491129126  -1.59233952717e-05   2.98742826489e-18       5.77492984909    -0.0983596996692
               5.64                 0.1                0.05                   0                   0                   0    -0.0726900060418   4.83047281987e-05   4.87130640471e-18       5.66835321053      0.248979802161
               5.72                 0.1                0.05                   0                   0                   0    -0.0658551000973   0.000117824653474   6.46063855295e-18       5.39528854176      0.361272394753
                5.8                 0.1                0.05                   0                   0                   0    -0.0566294280925   0.000105867161573   8.94482304849e-18        5.0031257388       0.57339440647
               5.88                 0.1                0.05                   0                   0                   0    -0.0496716339894   0.000108370682653   1.08292255232e-17       4.68571529564      0.567487187362
               5.96                 0.1                0.05                   0                   0                   0    -0.0415562753905  -5.11165961187e-05   1.25374862003e-17       4.28586273302      0.646814444973
               6.04                 0.1                0.05                   0                   0                   0    -0.0341090803283   0.000125449994649                   0       3.88287392514       0.52172946273
               6.12                 0.1                0.05                   0                   0                   0    -0.0400124601278   0.000125143536276                   0       4.20552094325      0.542551968315
                6.2                 0.1                0.05                   0                   0                   0    -0.0399677292979  -2.21258786578e-07                   0       4.20316529389      0.478725120046
               6.28                 0.1                0.05                   0                   0                   0    -0.0401112935172  -1.20423085804e-05                   0       4.21069357687      0.498485463873
               6.36                 0.1                0.05                   0                   0                   0    -0.0401046973411  -1.05187654391e-05                   0       4.21034470062      0.437513748982
               6.44                 0.1                0.05                   0                   0                   0    -0.0384776297484   1.01565482915e-05                   0         4.124049773      0.446694256964
               6.52                 0.1                0.05                   0                   0                   0    -0.0345600617643   3.55613209926e-05   2.98365552696e-18       3.90847502415      0.390954129692
