#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0010983902      -5.9108898     -0.02741983  -2.8502399e-20       2322.9405       5.9056056   8.9214272e-19   1.8009741e-14   4.3750589e-17   8.0913891e-36       2.7462461    0.0034621629  -1.3034211e-22      0.11014181    0.0021027053   3.7841961e-09        91.34946
   0.0011863663      -6.2180407    -0.031384005  -2.2483565e-20       2267.8826       6.2130383   9.9533634e-19  -1.4869162e-15  -5.1207782e-18  -1.8016365e-36       2.9483749    0.0039974204   2.1084911e-23      0.11169126    0.0028171576   1.0099662e-08       78.821228
   0.0012797599      -6.4914986    -0.035672773   2.7251437e-20       2201.1234       6.4868467   2.4169651e-19  -3.7224951e-15  -1.0084816e-17  -5.5884588e-36        3.157266    0.0045929903   3.5388908e-23      0.11358838    0.0037547836   2.5895099e-08       68.402321
   0.0013789043      -6.7154664    -0.040236952   1.2960699e-20       2119.7305       6.7112907   9.1449537e-19  -4.0468759e-15  -1.4659246e-17  -2.5716581e-36       3.3716929    0.0052501717   7.2754984e-23      0.11590329    0.0049814537   6.3673499e-08       59.717173
   0.0014841538      -6.8700135    -0.044993763   2.9147945e-20       2019.4042       6.8674199  -1.8096842e-20  -1.4475549e-14  -5.0221893e-17  -4.7924399e-36       3.5898022     0.005968084   2.3565227e-22      0.11867172    0.0065823138   1.5014553e-07       52.466884
   0.0015958843      -6.9307232    -0.049818411   1.0421275e-19       1894.0277       6.9320629  -2.7584932e-18  -4.8034529e-15  -1.3702867e-17  -4.3279238e-36        3.808799    0.0067428289   2.4073671e-23       0.1218176    0.0086674329   3.3978978e-07       46.413692
   0.0017144948      -6.8718025    -0.054525551   8.2598703e-20       1737.6304        6.877923  -2.1519134e-18   1.5789435e-14   6.3563726e-17  -1.3682514e-35       4.0245283    0.0075661247  -4.2220015e-22      0.12500649     0.011351523   7.3328817e-07        41.39663
    0.001840409      -6.6838924    -0.058902495  -1.7689915e-20       1552.2237       6.6913814   1.0305727e-18   1.5200546e-14   6.2995341e-17  -7.4638797e-37       4.2315346    0.0084240936  -4.4833251e-22      0.12746741     0.014576252    1.430276e-06       37.407847
   0.0019740768       -6.393175    -0.062811243   -7.392913e-20       1354.1401       6.3972642   2.6394164e-18   3.4884966e-15   1.5303856e-17   4.4760679e-36       4.4247564    0.0093004571  -1.2371254e-22      0.12802445     0.017914775    2.340419e-06       34.510188
   0.0021159754      -6.0362347    -0.066174376  -2.7513055e-20       1164.3529       6.0376961   1.8718313e-18  -5.2008101e-15  -2.8106191e-17  -5.3489011e-36       4.6017763     0.010182793   2.7721669e-22      0.12571395     0.020843782   3.1767614e-06       32.551441
