#            face_x              face_y              face_z                 U_x                 U_y                 U_z   wallShearStress_x   wallShearStress_y   wallShearStress_z               yPlus                   p
               0.04                 0.1                0.05                   0                   0                   0    -0.0473834491422   0.000378662015022                   0       4.57650685397      -9.59307224877
               0.12                 0.1                0.05                   0                   0                   0    -0.0473887545698  -1.69600449694e-05                   0        4.5767940125       4.54908415869
                0.2                 0.1                0.05                   0                   0                   0    -0.0474717365129  -1.56505257081e-05                   0       4.58076139173        4.4778006758
               0.28                 0.1                0.05                   0                   0                   0    -0.0474829797927  -1.09807791817e-05                   0       4.58130351466       4.26876878525
               0.36                 0.1                0.05                   0                   0                   0    -0.0474793855376   -6.8265021947e-06                   0       4.58113023117       4.11211140829
               0.44                 0.1                0.05                   0                   0                   0     -0.047481362984  -3.70760960869e-06                   0       4.58122582906       3.95239863542
               0.52                 0.1                0.05                   0                   0                   0     -0.047477165536   -1.7732398579e-06   1.04477623683e-20       4.58102352695       3.86668032531
                0.6                 0.1                0.05                   0                   0                   0    -0.0474789223048  -7.64022350833e-07   1.02651197484e-20       4.58110841875       3.78086213081
               0.68                 0.1                0.05                   0                   0                   0    -0.0474763998019  -2.90451907731e-07                   0       4.58098680062       3.73686662198
               0.76                 0.1                0.05                   0                   0                   0    -0.0474780224041  -1.02890839426e-07                   0       4.58106512016        3.6806482907
               0.84                 0.1                0.05                   0                   0                   0    -0.0474764272591  -2.83963473345e-08                   0       4.58098817928       3.64582943606
               0.92                 0.1                0.05                   0                   0                   0    -0.0474776888334  -8.67133002508e-09                   0       4.58104904954        3.5976076898
                  1                 0.1                0.05                   0                   0                   0    -0.0474765912867   7.45637190042e-10                   0       4.58099610093       3.56248083433
               1.08                 0.1                0.05                   0                   0                   0    -0.0474775102675   -6.1548320174e-11                   0       4.58104043745       3.51687531808
               1.16                 0.1                0.05                   0                   0                   0    -0.0474767307655   1.77875344436e-09                   0       4.58100283088       3.48031594225
               1.24                 0.1                0.05                   0                   0                   0    -0.0474773898929   -2.1630694399e-10                   0       4.58103463024       3.43615895952
               1.32                 0.1                0.05                   0                   0                   0    -0.0474768325694   9.24567923253e-10                   0       4.58100774239       3.39842865115
                1.4                 0.1                0.05                   0                   0                   0     -0.047477304266  -4.50386404232e-10                   0       4.58103049919        3.3552606996
               1.48                 0.1                0.05                   0                   0                   0    -0.0474769053317    4.4418022249e-10                   0       4.58101125276       3.31668578219
               1.56                 0.1                0.05                   0                   0                   0    -0.0474772429146  -4.80185469033e-10                   0       4.58102753931       3.27422426378
               1.64                 0.1                0.05                   0                   0                   0    -0.0474769572733   1.97086258843e-10                   0       4.58101375865       3.23504707741
               1.72                 0.1                0.05                   0                   0                   0    -0.0474771989506  -4.40612084486e-10                   0       4.58102541827       3.19309147459
                1.8                 0.1                0.05                   0                   0                   0    -0.0474769943708   5.97177710419e-11                   0       4.58101554841       3.15348455689
               1.88                 0.1                0.05                   0                   0                   0    -0.0474771674459  -3.96484646322e-10                   0       4.58102389834        3.1118912555
               1.96                 0.1                0.05                   0                   0                   0    -0.0474770208834  -3.00425930899e-11                   0       4.58101682749       3.07197742025
               2.04                 0.1                0.05                   0                   0                   0      -0.04747714487  -3.17661719994e-10                   0       4.58102280917       3.03064188245
               2.12                 0.1                0.05                   0                   0                   0    -0.0474770398307   -5.0734041526e-11                   0        4.5810177416       2.99050878648
                2.2                 0.1                0.05                   0                   0                   0    -0.0474771286809  -2.82539829173e-10                   0       4.58102202814       2.94935952986
               2.28                 0.1                0.05                   0                   0                   0    -0.0474770533772  -9.11460046226e-11                   0       4.58101839514       2.90906981077
               2.36                 0.1                0.05                   0                   0                   0    -0.0474771170695  -2.48304551696e-10                   0       4.58102146795        2.8680526663
               2.44                 0.1                0.05                   0                   0                   0    -0.0474770630565   -1.0959521472e-10                   0       4.58101886212       2.82765091436
               2.52                 0.1                0.05                   0                   0                   0     -0.047477108727  -2.20779897072e-10                   0       4.58102106547       2.78672848277
                2.6                 0.1                0.05                   0                   0                   0    -0.0474770699678  -1.22518272642e-10                   0       4.58101919555       2.74624670014
               2.68                 0.1                0.05                   0                   0                   0    -0.0474771027179   -2.0914361182e-10   7.36827907746e-21       4.58102077557       2.70539225767
               2.76                 0.1                0.05                   0                   0                   0    -0.0474770748811  -1.57511320944e-10   7.25787352509e-21        4.5810194326         2.664853808
               2.84                 0.1                0.05                   0                   0                   0    -0.0474770983392  -2.61873752879e-10                   0       4.58102056433       2.62404907095
               2.92                 0.1                0.05                   0                   0                   0    -0.0474770783894  -3.44738635895e-10                   0       4.58101960184        2.5834732015
                  3                 0.1                0.05                   0                   0                   0    -0.0474770951932  -1.94318447337e-10                   0        4.5810204125       2.54269575554
               3.08                 0.1                0.05                   0                   0                   0     -0.047477080914   8.05233406458e-11                   0       4.58101972363       2.50207877299
               3.16                 0.1                0.05                   0                   0                   0    -0.0474770929886  -2.70174133447e-11                   0       4.58102030619       2.46133479503
               3.24                 0.1                0.05                   0                   0                   0    -0.0474770827018  -4.30551512588e-11  -6.59294441515e-21        4.5810198099       2.42070551723
               3.32                 0.1                0.05                   0                   0                   0    -0.0474770914207  -9.14095847975e-11  -6.48202167434e-21       4.58102023054        2.3799777114
                3.4                 0.1                0.05                   0                   0                   0    -0.0474770840062  -8.44991664887e-11                   0       4.58101987283       2.33933249458
               3.48                 0.1                0.05                   0                   0                   0     -0.047477090267  -1.02280444499e-10                   0       4.58102017488       2.29861664177
               3.56                 0.1                0.05                   0                   0                   0    -0.0474770849204  -8.70648355886e-11                   0       4.58101991693       2.25796022846
               3.64                 0.1                0.05                   0                   0                   0    -0.0474770894192  -9.45742397768e-11                   0       4.58102013397       2.21725329175
               3.72                 0.1                0.05                   0                   0                   0    -0.0474770855632  -8.13027127662e-11                   0       4.58101994794       2.17658910503
                3.8                 0.1                0.05                   0                   0                   0    -0.0474770887967  -8.43294979872e-11                   0       4.58102010394        2.1358886582
               3.88                 0.1                0.05                   0                   0                   0    -0.0474770860146  -8.38729497862e-11                   0       4.58101996972       2.09521924703
               3.96                 0.1                0.05                   0                   0                   0     -0.047477088346  -8.35522555085e-11                   0        4.5810200822       2.05452343839
               4.04                 0.1                0.05                   0                   0                   0    -0.0474770863366  -4.86206255055e-11                   0       4.58101998525       2.01384891173
               4.12                 0.1                0.05                   0                   0                   0    -0.0474770880155  -4.66269130969e-11                   0       4.58102006625       1.97315646058
                4.2                 0.1                0.05                   0                   0                   0    -0.0474770865623  -4.97834717995e-11                   0       4.58101999614       1.93248021759
               4.28                 0.1                0.05                   0                   0                   0    -0.0474770877781  -4.96948576114e-11                   0        4.5810200548       1.89179028367
               4.36                 0.1                0.05                   0                   0                   0    -0.0474770867248  -4.45553641085e-11                   0       4.58102000398       1.85111169615
               4.44                 0.1                0.05                   0                   0                   0    -0.0474770876021  -4.40187638925e-11                   0       4.58102004631       1.81042350119
               4.52                 0.1                0.05                   0                   0                   0    -0.0474770868338   -4.0115208499e-11                   0       4.58102000924       1.76974344691
                4.6                 0.1                0.05                   0                   0                   0     -0.047477087468  -4.19229249784e-11                   0       4.58102003984        1.7290566119
               4.68                 0.1                0.05                   0                   0                   0    -0.0474770868976  -4.72373638421e-11                   0       4.58102001232       1.68837576399
               4.76                 0.1                0.05                   0                   0                   0    -0.0474770873468  -6.84705965028e-11                   0         4.581020034       1.64769047681
               4.84                 0.1                0.05                   0                   0                   0    -0.0474770868872   -1.1578569918e-10                   0       4.58102001184       1.60701011279
               4.92                 0.1                0.05                   0                   0                   0    -0.0474770872582  -2.52157188867e-10                   0       4.58102002971        1.5663290751
                  5                 0.1                0.05                   0                   0                   0    -0.0474770868873  -6.21340659839e-11                   0       4.58102001179       1.52564076593
               5.08                 0.1                0.05                   0                   0                   0    -0.0474770872163   1.73028882958e-10                   0       4.58102002768       1.48494848373
               5.16                 0.1                0.05                   0                   0                   0    -0.0474770869525    9.2477055946e-11                   0       4.58102001498       1.44426847449
               5.24                 0.1                0.05                   0                   0                   0    -0.0474770871728   4.65099706064e-11                   0       4.58102002561       1.40358524347
               5.32                 0.1                0.05                   0                   0                   0    -0.0474770870246   1.60660554782e-11                   0       4.58102001845       1.36290334437
                5.4                 0.1                0.05                   0                   0                   0    -0.0474770871725   5.74665940859e-14                   0       4.58102002559       1.32221946499
               5.48                 0.1                0.05                   0                   0                   0    -0.0474770870586  -6.26976277299e-12   6.98071554658e-21       4.58102002009       1.28153659981
               5.56                 0.1                0.05                   0                   0                   0    -0.0474770871585  -8.87727664321e-12   1.35182124118e-20       4.58102002491       1.24085251334
               5.64                 0.1                0.05                   0                   0                   0    -0.0474770870728  -9.48072878602e-12   1.30750041633e-20       4.58102002078        1.2001693242
               5.72                 0.1                0.05                   0                   0                   0    -0.0474770871416  -1.02839664298e-11   1.26317862706e-20       4.58102002409       1.15948532116
                5.8                 0.1                0.05                   0                   0                   0    -0.0474770870764  -9.57033448377e-12   1.21885740538e-20       4.58102002095       1.11880196294
               5.88                 0.1                0.05                   0                   0                   0    -0.0474770871245  -2.03995073266e-11   1.17453564418e-20       4.58102002327        1.0781183453
               5.96                 0.1                0.05                   0                   0                   0    -0.0474770870819  -1.84953379497e-11   5.65107011464e-21       4.58102002121       1.03743484786
               6.04                 0.1                0.05                   0                   0                   0    -0.0474770871154   7.28191912238e-12                   0       4.58102002283      0.996750156243
               6.12                 0.1                0.05                   0                   0                   0    -0.0474770870856   9.45498519405e-12                   0       4.58102002139      0.956066598945
                6.2                 0.1                0.05                   0                   0                   0    -0.0474770871073  -1.17963674458e-12                   0       4.58102002244      0.915383091564
               6.28                 0.1                0.05                   0                   0                   0    -0.0474770870923  -1.78981267288e-12                   0       4.58102002171      0.874699588252
               6.36                 0.1                0.05                   0                   0                   0    -0.0474770871046  -2.79662528073e-12                   0       4.58102002231      0.834015806579
               6.44                 0.1                0.05                   0                   0                   0    -0.0474770870951   -3.4583830058e-12                   0       4.58102002185      0.793332260614
               6.52                 0.1                0.05                   0                   0                   0    -0.0474770870974   -4.6165771847e-12   2.04989814253e-21       4.58102002196      0.752648468603
                6.6                 0.1                0.05                   0                   0                   0    -0.0474770870928  -7.86354452944e-12   1.93909210353e-21       4.58102002174      0.711964972134
               6.68                 0.1                0.05                   0                   0                   0    -0.0474770870799  -1.73518507872e-11                   0       4.58102002112      0.671281428234
               6.76                 0.1                0.05                   0                   0                   0     -0.047477087069  -4.01010083703e-11                   0        4.5810200206      0.630598553539
               6.84                 0.1                0.05                   0                   0                   0    -0.0474770870134  -9.08515538155e-11                   0       4.58102001793       0.58991627956
               6.92                 0.1                0.05                   0                   0                   0     -0.047477087053  -2.28675537128e-10                   0       4.58102001982      0.549237008303
                  7                 0.1                0.05                   0                   0                   0    -0.0474770869743  -4.13923135861e-11                   0       4.58102001598      0.508547367286
               7.08                 0.1                0.05                   0                   0                   0    -0.0474770870626   1.92805771703e-10                   0       4.58102002027      0.467856281598
               7.16                 0.1                0.05                   0                   0                   0    -0.0474770870146   1.11330581373e-10                   0       4.58102001798      0.427175213178
               7.24                 0.1                0.05                   0                   0                   0    -0.0474770870675   6.89352472897e-11                   0       4.58102002053      0.386492716269
               7.32                 0.1                0.05                   0                   0                   0    -0.0474770870964   5.25976402132e-11                   0       4.58102002191      0.345809591401
                7.4                 0.1                0.05                   0                   0                   0    -0.0474770871808   8.62603861263e-11                   0       4.58102002597      0.305124764965
               7.48                 0.1                0.05                   0                   0                   0     -0.047477087355    2.3099517849e-10                   0       4.58102003434      0.264436596361
               7.56                 0.1                0.05                   0                   0                   0    -0.0474770878098    6.5763142061e-10                   0       4.58102005618      0.223739499767
               7.64                 0.1                0.05                   0                   0                   0    -0.0474770888514   1.77919640947e-09                   0       4.58102010622      0.183020851441
               7.72                 0.1                0.05                   0                   0                   0    -0.0474770909085   4.44726257957e-09                   0       4.58102020503       0.14225396938
                7.8                 0.1                0.05                   0                   0                   0    -0.0474770943472   1.01393372478e-08                   0       4.58102037019      0.101394774434
               7.88                 0.1                0.05                   0                   0                   0    -0.0474770939834   2.06466327278e-08                   0       4.58102035384     0.0603872181663
               7.96                 0.1                0.05                   0                   0                   0    -0.0474770905567    1.3663288058e-08                   0       4.58102018952     0.0199193818911
