#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   3.113662e-05    -0.020681565  -2.2352415e-07   1.2818238e-21       4422.0272     0.019065513  -2.7727736e-19   2.5256666e-13   3.4495846e-19  -4.2444831e-35      0.13914365   3.7822726e-07  -2.7748307e-24     0.013637792   8.0884283e-09       4021290.3
  5.3394177e-05    -0.035318794  -5.8848147e-07   3.0378414e-22       4416.4873     0.034709418  -3.0616761e-19   2.8526675e-13    2.128631e-18  -4.7600945e-35      0.23760607   9.9500309e-07  -1.0244866e-23     0.011883757   2.2174591e-08       863209.29
  7.7022295e-05    -0.050807001  -1.1850184e-06   2.8853401e-22       4405.5783     0.050466466   2.8820709e-20   4.0203374e-13   5.1173756e-18   1.5414628e-35      0.34195319   2.0144214e-06  -1.7212428e-23     0.013167753   5.3705607e-08       332228.14
  0.00010210537    -0.067132218  -2.0528284e-06   -6.805242e-22        4384.851     0.066894638    6.801512e-19   1.8472516e-13   2.2847051e-18  -7.4513808e-36      0.45235095   3.5022986e-06  -7.5577933e-24     0.015987286   1.1789491e-07       167483.45
  0.00012873299    -0.084221597  -3.2317056e-06  -1.0421675e-21       4348.1683     0.083957308    5.955113e-19  -3.3062201e-13  -7.6021035e-18   -5.408697e-35      0.56880977   5.5281015e-06   2.0417947e-23     0.019972332   2.3761129e-07       98065.397
  0.00015700027     -0.10191798  -4.7675382e-06   6.6815864e-22       4287.9798      0.10163311  -1.1010014e-19  -3.7262308e-13  -8.5558364e-18   2.4823599e-35      0.69109679   8.1720243e-06   2.3084848e-23     0.024992761   4.4399358e-07        63207.88
  0.00018700818     -0.11996514   -6.708637e-06   7.1018423e-22       4196.4717      0.11968103  -1.9625303e-19  -1.6428878e-13  -4.3541745e-18  -1.5175654e-35      0.81864976   1.1518089e-05   1.1856229e-23     0.030983667   7.7561016e-07       43644.221
  0.00021886389     -0.13801842  -9.1033948e-06  -8.1581452e-22       4067.4561      0.13774717  -1.7115706e-19  -1.4122382e-13  -4.1773757e-18   4.9638998e-35      0.95052499   1.5649019e-05   1.1120474e-23     0.037887249   1.2756876e-06       31792.051
  0.00025268119      -0.1556885  -1.1999624e-05  -1.1457684e-21       3898.4483      0.15543635  -1.5653582e-19  -1.2408389e-14  -3.0928011e-20   2.5137312e-35       1.0854158    2.064217e-05  -1.4809936e-25     0.045625869    1.987849e-06       24192.125
  0.00028858087     -0.17260926   -1.544497e-05  -1.1877579e-21        3691.976      0.17237891   2.3713593e-20    2.302644e-16   -4.845861e-19  -5.8045856e-35       1.2217583   2.6566715e-05   2.1747817e-24     0.054089106    2.951858e-06       19088.647
  0.00032669115     -0.18850274   -1.948835e-05  -1.9992373e-21       3455.3844      0.18829219   6.4441902e-20  -3.1465922e-14  -6.9498779e-19  -3.8515167e-35       1.3579035    3.348298e-05   4.7376974e-25     0.063130497   4.2010142e-06       15518.438
  0.00036714817     -0.20321429  -2.4182002e-05  -1.0183611e-21       3199.2121      0.20301844   2.2952845e-19  -1.9328128e-14  -1.7337239e-18   -5.002305e-35        1.492303   4.1444101e-05   7.9239911e-24     0.072571027   5.7616892e-06       12923.362
  0.00041009642     -0.21671191  -2.9583438e-05   1.0712979e-21       2934.9117      0.21653265    1.262522e-19  -6.6226119e-14   -5.093357e-18   3.0335322e-36       1.6236559   5.0499549e-05   2.1932884e-23     0.082205727   7.6539702e-06       10967.822
  0.00045568931      -0.2290593   -3.575823e-05  -6.5920846e-22       2672.7564      0.22891188   8.4783433e-19  -4.7230411e-14  -3.7711125e-18  -7.0187797e-36       1.7509863   6.0699708e-05   1.6429529e-23      0.09182926   9.8940834e-06       9444.9298
  0.00050408968      -0.2403764   -4.278119e-05   6.5579985e-22       2420.5544      0.24022948   8.4245197e-19   -2.058947e-13  -2.1807266e-17  -3.6972368e-35       1.8736451    7.209929e-05   1.0980634e-22      0.10128083   1.2499213e-05       8224.7121
  0.00055547043     -0.25080979  -5.0720457e-05   9.5782497e-21       2184.0451      0.25061525  -1.9002103e-18  -1.7028497e-13  -1.8242948e-17  -1.0083025e-34       1.9912614     8.47534e-05   9.2266089e-23       0.1104548    1.548933e-05         7224.08
  0.00061001506     -0.26067215  -5.9676467e-05   6.6051432e-21        1967.957      0.26048359  -2.1539868e-18   1.2998277e-13   1.9154749e-17  -7.8125712e-35       2.1037578   9.8730005e-05  -1.1013374e-22      0.11927789    1.883527e-05       6388.3547
   0.0006679184     -0.27040881   -6.983242e-05  -6.2014842e-21       1774.3394      0.27027091   1.6178701e-19   1.6058702e-13   2.3391331e-17   3.9691269e-35       2.2113763   0.00011413311  -1.3398128e-22      0.12769821   2.2482465e-05       5679.5395
  0.00072938728       -0.280088  -8.1381679e-05  -2.9560668e-21       1600.6228      0.27997202   5.6057427e-19   7.6487399e-14   1.2995275e-17  -3.1916731e-35       2.3144524   0.00013108837  -8.0510376e-23      0.13566813   2.6493734e-05       5070.2747
  0.00079464125     -0.28940763  -9.4492451e-05    2.033731e-21       1442.6724       0.2892971   6.2144739e-19   5.2185919e-14    1.027726e-17  -1.8917769e-35       2.4131429   0.00014971242  -6.7863853e-23      0.14311582   3.1003186e-05       4541.2832
  0.00086391338     -0.29824775  -0.00010935508   3.0327443e-21       1298.6784      0.29812439    4.066157e-19  -1.4451953e-15  -8.7801838e-19    1.494697e-35        2.507489   0.00017010962    7.839981e-24      0.14993585   3.6073187e-05       4079.0978
   0.0009374511     -0.30674142  -0.00012618149   1.0675463e-21       1168.6802        0.306601  -9.7580791e-20   6.6729845e-15   2.1574229e-18  -1.0626843e-35       2.5976028   0.00019239399  -1.7306971e-23      0.15603707   4.1700612e-05       3673.7482
   0.0010155171     -0.31507273  -0.00014520379  -8.4728176e-21       1052.5702      0.31493161   7.1802772e-19   6.7679006e-15   7.5545443e-19  -3.5514565e-35         2.68371   0.00021670326  -2.1841761e-24      0.16140731   4.7872094e-05       3317.3054
   0.0010983902     -0.32340872  -0.00016669698  -1.0432564e-21       949.54304      0.32327179   6.6041369e-19  -3.6660545e-14   -1.273805e-17   -4.618276e-35       2.7661028   0.00024319776   1.0627673e-22      0.16609612    5.458209e-05       3003.1932
   0.0011863663     -0.33189055  -0.00019099855   3.1106418e-21       858.41245      0.33176207  -3.1005672e-20  -3.0075466e-14  -1.1357132e-17  -1.1797706e-35       2.8450959   0.00027206203    9.790238e-23      0.17016706   6.1827896e-05       2725.8495
   0.0012797599     -0.34063813  -0.00021852604  -3.2809308e-21       777.91483       0.3405301  -6.4261791e-20  -2.4984739e-14  -1.0984031e-17   1.7822134e-35       2.9210051   0.00030350858   1.0030757e-22      0.17368356   6.9604753e-05       2480.5203
   0.0013789043     -0.34974188  -0.00024979687   4.8946689e-21       706.86049      0.34964314  -8.4496265e-19  -1.9594345e-14  -8.8483577e-18   5.6870997e-36       2.9941388   0.00033777967    8.151472e-23      0.17670549   7.7900797e-05       2263.1151
   0.0014841538     -0.35922863  -0.00028544223   1.1516292e-20       644.22707      0.35906032  -1.2459554e-18   1.3185191e-14   8.4399967e-18   3.3504451e-36       3.0647979   0.00037514092  -8.6747827e-23      0.17928795   8.6686106e-05       2070.0892
   0.0015958843     -0.36897806  -0.00032608667   2.1803457e-22       589.14044      0.36871428   5.1625441e-19   2.9163693e-14   1.7380503e-17   5.7308778e-35       3.1332868   0.00041587057  -1.7516489e-22      0.18147991   9.5885812e-05       1898.3242
   0.0017144948      -0.3788282  -0.00037230969  -7.8881992e-21       540.67308      0.37860195   1.3071196e-18  -6.3860366e-15  -5.9118173e-18  -4.4371016e-35       3.1999122   0.00046026835   6.4904499e-23      0.18332283   0.00010544018       1745.0511
    0.001840409     -0.38888892  -0.00042487818  -6.2438525e-21       497.76649      0.38875823  -4.2396803e-19  -1.6999542e-14  -1.1571039e-17  -6.1555355e-35        3.264948   0.00050866254   1.1834581e-22      0.18484945   0.00011537911       1607.8684
   0.0019740768     -0.39946136  -0.00048476953  -6.3802495e-21       459.46602       0.3993263  -5.1656305e-19   6.9579992e-15   5.9980588e-18   3.1910068e-35       3.3286105   0.00056141638  -6.7772102e-23      0.18608384    0.0001257501       1484.7609
   0.0021159754     -0.41073139  -0.00055310984   8.6586947e-21       425.09328      0.41054867  -9.2117265e-20   4.8767048e-16  -2.8153186e-19  -1.2084132e-35       3.3910764   0.00061896147   7.5942705e-24      0.18704377   0.00013655396       1374.0392
   0.0022666117      -0.4227936  -0.00063128984   1.3535664e-20       394.16653      0.42258814  -6.7001449e-19   6.6421763e-15   8.4267183e-18  -2.8686367e-35       3.4525051   0.00068180519  -1.1564342e-22      0.18774301   0.00014776607       1274.2633
   0.0024265239     -0.43575162  -0.00072099379  -6.4288708e-21        366.2915      0.43553291   5.2838877e-19   1.3485809e-14   1.5182076e-17  -1.9049413e-35        3.513047   0.00075051988  -1.9743464e-22      0.18819215   0.00015935398       1184.1961
    0.002596283     -0.44971918  -0.00082420503  -7.9677437e-21       341.12772      0.44948805   1.0888079e-18  -4.0823373e-15   -6.515774e-18   2.0316511e-36       3.5728449    0.0008257526   1.0119647e-22      0.18839878   0.00017127611       1102.7711
   0.0027764954     -0.46482124  -0.00094322991    3.010635e-21       318.38043      0.46457356  -6.6112683e-20   -7.824636e-15  -1.0841696e-17   1.1139971e-35       3.6320357   0.00090823936   1.5706647e-22      0.18836777   0.00018348043       1029.0661
   0.0029678048     -0.48119519   -0.0010805955   2.2610767e-21       297.79376      0.48089765  -5.3922089e-19  -2.3945501e-15  -3.5335199e-18  -2.1537006e-36       3.6907524   0.00099881717   5.3453317e-23      0.18810132   0.00019590299       962.28169
   0.0031708945     -0.49899201   -0.0012389941  -2.4235338e-21       279.14538       0.4985774  -6.0758034e-19   1.4821798e-15   2.9196845e-18  -2.1419659e-35       3.7491249    0.0010984317  -5.2452348e-23      0.18759913   0.00020846638       901.72339
     0.00338649     -0.51845697   -0.0014238952   -1.060837e-20       262.26508      0.51807291    3.534189e-20   5.4643074e-15   1.1277606e-17  -6.0394253e-36       3.8072825    0.0012081618  -2.0728756e-22      0.18685847   0.00022107677        846.7867
   0.0036153613     -0.54048823   -0.0016463451  -7.0041254e-21       247.07364      0.54029334    6.729691e-19   8.6168571e-16   9.8123405e-19   8.1562157e-36       3.8653662     0.001329393  -3.6504685e-24      0.18587324   0.00023351963       796.93359
   0.0038583258     -0.56638656   -0.0019183889   3.5711658e-21       233.52693      0.56610926  -1.2503124e-19  -2.3291273e-15  -5.4295297e-18  -1.0117534e-35       3.9235541    0.0014639213   1.1045405e-22        0.184632   0.00024543487       751.65772
   0.0041162514     -0.59640562   -0.0022495452   9.1700318e-22       221.48149       0.5958725  -5.2322178e-19   1.4433205e-15   4.2596742e-18  -9.9175001e-36       3.9820533    0.0016139503  -1.0110829e-22      0.18311671   0.00025661533       710.47587
   0.0043900594     -0.62981773   -0.0026432339   1.9635204e-21       210.69959      0.62918423   2.6617559e-19   2.2315469e-15   6.5554999e-18   3.6510934e-36        4.041059    0.0017819527  -1.5413412e-22       0.1813024   0.00026703057       672.94899
   0.0046807278      -0.6660248   -0.0030999241  -1.1574565e-21       200.96647      0.66538076   7.6587106e-19  -6.7603839e-16  -2.9652486e-18    8.629457e-37       4.1007402    0.0019704798   8.1941047e-23      0.17915766    0.0002766111       638.68883
   0.0049892948     -0.70480511   -0.0036244578   8.2008608e-21       192.13196       0.7041468  -2.3153641e-19  -3.1946073e-15  -1.1603292e-17  -3.5766585e-37       4.1612509    0.0021822283   3.0105065e-22       0.1766454   0.00028523408       607.34745
   0.0053168625      -0.7461748   -0.0042247577   1.1830534e-20       184.08981      0.74548752  -6.6355397e-19   8.0302195e-16   4.3965962e-18   6.9868939e-36       4.2227399    0.0024201695  -1.3373436e-22      0.17372297   0.00029273122       578.60649
   0.0056646009     -0.79028399   -0.0049108713  -2.2341566e-20       176.76078      0.78955854   7.9021922e-19   1.1579784e-15   4.0342777e-18  -7.1873385e-36       4.2853573    0.0026876441  -1.0074749e-22      0.17034156   0.00029889581       552.16721
   0.0060337521     -0.83734683   -0.0056944353  -8.1277502e-21        170.0825      0.83657741   2.4715599e-19  -3.2479507e-15  -1.6566573e-17  -1.5217258e-35       4.3492586    0.0029884359   4.9910152e-22      0.16644513   0.00030348694       527.74074
   0.0064256347     -0.88759855   -0.0065883047   1.9915308e-20       164.00373       0.8867816  -1.1209289e-18  -2.5211724e-16   2.9727562e-19   9.0159947e-36       4.4146079    0.0033268402  -3.2561999e-23       0.1619689   0.00030623093       505.03796
   0.0068416484     -0.94126175   -0.0076062318  -1.2206429e-20       158.47993      0.94039537   1.8251924e-19   2.2040076e-15   1.2788226e-17  -4.0529443e-36       4.4815804    0.0037077285  -4.0630874e-22       0.1568374   0.00030682304       483.75913
    0.007283279     -0.99848535   -0.0087624323  -1.5621352e-20        153.4663       0.9975663   8.4764036e-19  -9.0987223e-16  -6.8320431e-18  -1.8903223e-35       4.5503633    0.0041366064   2.4180289e-22      0.15096255   0.00030493638       463.58321
   0.0077521041      -1.0591906    -0.010070326   2.2475147e-21       148.90277       1.0582136  -2.3052665e-19  -1.3872864e-15   -9.255584e-18  -1.9411889e-36       4.6211528    0.0046196286   3.1126656e-22      0.14424221    0.0003002499       444.15774
   0.0082497982      -1.1227168    -0.011538738   8.4652954e-22       144.68344        1.121705  -4.6256444e-19   9.7560959e-17   9.7282776e-19  -3.6161507e-39       4.6941394    0.0051634961  -3.4743488e-23      0.13656114   0.00029251181        425.0891
    0.008778139       -1.187097     -0.01316282   1.2175588e-20       140.59936       1.1861935  -2.1386797e-19   4.3845556e-16   3.7199877e-18  -1.0631306e-36       4.7694662    0.0057750707  -1.3249056e-22      0.12779768   0.00028165672       405.93222
   0.0093390136      -1.2476726    -0.014905458   1.8635554e-20       136.24174       1.2470352   -2.408699e-19   7.7945091e-16   7.1735265e-18  -1.5866772e-36       4.8471336    0.0064603469  -2.6252432e-22      0.11784296   0.00026799566       386.18234
   0.0099344254      -1.2945372    -0.016646816   1.2884676e-20       130.88193         1.29401   3.7063999e-22   1.1244671e-15   1.1076374e-17    6.465807e-37       4.9268028     0.007221699  -4.0789958e-22       0.1066628   0.00025250274       365.39515
    0.010566501      -1.3108531    -0.018119353  -1.3894458e-20       123.51568       1.3103378   3.1747365e-19   6.1735514e-16   6.4049693e-18    -8.82876e-37       5.0074714    0.0080522685  -2.4072457e-22     0.094456303   0.00023707318       343.66882
    0.011237498      -1.2795785    -0.018957661  -2.9222795e-20       113.39726       1.2789472    1.523458e-19  -1.6808798e-17  -1.7850234e-19  -6.4018153e-37       5.0872184     0.008929914   3.3625721e-24     0.081691788   0.00022383385        321.3418
    0.011949813       -1.199171    -0.019027639   -1.815881e-20        100.9863        1.200443    1.720214e-19   1.5612547e-16   1.8656231e-18   2.3880106e-36       5.1635275    0.0098179291   -5.350872e-23     0.068886907   0.00021305321       298.06435
    0.012705991      -1.0928679    -0.018651601   -4.268558e-21       88.007686         1.09672   3.5019702e-19  -5.2745156e-16   -6.917224e-18  -2.9651942e-36       5.2345157     0.010685743   3.0034363e-22     0.056437368   0.00020024712         273.012
    0.013508733     -0.97811092    -0.018031358   3.2644332e-20       75.519644      0.98052737   -2.101444e-19   -9.175247e-16  -1.1792273e-17  -5.8925674e-37       5.2996969     0.011519125   4.7859456e-22     0.044614544   0.00018033563       245.08557
    0.014360904      -0.8332944    -0.016739591    3.087278e-20        62.59972       0.8343127  -4.5346493e-19   1.8738485e-16   2.5920284e-18   6.2607396e-37       5.3584293     0.012297853  -1.2612624e-22      0.03380461   0.00015721381       212.92985
    0.015265551     -0.63699213    -0.014170539  -9.4582102e-21       48.316618       0.6391569   4.1833821e-20   4.7265274e-16   6.3674056e-18   -1.099363e-36       5.4083879     0.012968719   -2.785539e-22     0.024680735   0.00013854963       176.32595
    0.016225903     -0.41503438    -0.010683305  -1.0524585e-20       33.859533       0.4182964   1.7265057e-19   2.8036239e-17   5.0091802e-19   1.1464958e-37       5.4470148     0.013467188  -3.3212193e-24     0.017844923   0.00012878668       137.98392
    0.017245391     -0.22155169   -0.0075129414    2.696489e-21       21.619649      0.22494781   -1.552487e-20  -6.3034771e-17  -7.2751139e-19  -2.7292407e-37       5.4739074     0.013772673   4.0942726e-23     0.013350784   0.00012961162       103.57024
    0.018327656    -0.090008447   -0.0054401177   2.1884936e-21       13.011088     0.092369576  -4.6828568e-20   1.5566248e-17   2.1585575e-20  -9.5049036e-38       5.4912334     0.013920586   -5.157313e-23      0.01069714   0.00013770248        78.30429
    0.019476565    -0.014713995   -0.0043318286  -1.8128618e-21        7.717838     0.015758903   5.9431184e-20   2.5222802e-17   1.4286973e-19  -1.8440094e-37       5.5021138     0.013966357  -5.3958893e-23    0.0092184406   0.00014694699       63.004654
     0.02069622     0.026570633   -0.0037752165   4.6294814e-22       4.5967725    -0.026324105   6.3120231e-20  -1.4830328e-17   2.4813592e-19   2.0394387e-37           5.509     0.013950627   1.0719323e-22    0.0084065432   0.00015329115       54.912992
    0.021990978     0.050835718   -0.0034734934   4.5337411e-22       2.6926806    -0.050636212  -6.9366481e-20   -1.904005e-17   1.7025254e-19   2.7557575e-38       5.5133445     0.013895765   8.4447293e-23     0.007969968   0.00015616536        51.04597
    0.023365464     0.066407464   -0.0032557944  -4.4263762e-21       1.4813935    -0.066223179  -6.6809815e-20   1.2722824e-18  -3.5327763e-19  -5.7014723e-38        5.515967     0.013812498  -9.9089762e-23     0.007752602   0.00015703622       49.369365
    0.024824587     0.076701757   -0.0030984763  -1.9289691e-21      0.70783886    -0.076625843   3.2464047e-20   5.2578303e-18  -3.1023077e-19   4.1989873e-37       5.5173906     0.013705869  -8.0335281e-23    0.0076592808   0.00015745226       48.645788
    0.026373559     0.083258293   -0.0029805715  -3.0436711e-22      0.23004869    -0.083118038   2.7994912e-20   9.3709726e-19    4.749383e-20   1.2325489e-37       5.5179944     0.013580397   1.0490291e-23     0.007629897   0.00015801814       48.285633
