# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell	min(epsilon)	min(nuTilda)
17                  	1.279910314393e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.297475880486e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.057782769058e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973	1.429301620925e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
18                  	1.328308979591e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.273460985242e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.041411333322e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973	1.402846771771e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
19                  	1.392329250199e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.256811770235e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.034293326281e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973	1.384505968405e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
20                  	1.473172628919e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.246044496341e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.040010687885e+00	(7.880000000000e+00 2.679914685521e-02 1.000000000000e-01)	2943	1.372644721301e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
21                  	1.571231053452e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.239862018043e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.060948775212e+00	(7.720000000000e+00 2.679914685521e-02 1.000000000000e-01)	2883	1.365834092768e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
22                  	1.686387606055e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.237199875503e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.101193497388e+00	(7.480000000000e+00 2.679914685521e-02 1.000000000000e-01)	2793	1.362901472050e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
23                  	1.817707597299e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.237155668351e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.110116035104e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972	1.362852773377e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
24                  	1.963739167933e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.238973711858e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.130102314560e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972	1.364855533174e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
25                  	2.121837838112e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.242017052196e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.175914853818e+00	(7.480000000000e+00 1.997892471644e-02 1.000000000000e-01)	2792	1.368208082029e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
26                  	2.288746803228e-03	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	1.245770658192e-07	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59	2.227272173884e+00	(7.000000000000e+00 1.997892471644e-02 1.000000000000e-01)	2612	1.372343060734e-11	(1.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	59
