#          distance                 U_x                 U_y                 U_z                   p   wallShearStress_x   wallShearStress_y   wallShearStress_z               yPlus
    0.0122917149841       1.96332050997  -1.03370650446e-13   2.16959818099e-16     0.0110299324467                   0                   0                   0                   0
    0.0197619112058       1.91683233011  -1.66975579487e-13   4.08680204189e-16     0.0110592373729                   0                   0                   0                   0
    0.0266619137534       1.85364109983  -2.14309802607e-13   5.20719560341e-16     0.0107970185512                   0                   0                   0                   0
    0.0330352450211       1.77817838015  -2.46288624257e-13   5.78976730696e-16      0.010530149174                   0                   0                   0                   0
    0.0389221053763       1.69395028676   -2.6337298544e-13   6.43366191988e-16     0.0102816156942                   0                   0                   0                   0
    0.0443596267266       1.60378566549  -2.65104731123e-13   6.77983402375e-16     0.0100559463949                   0                   0                   0                   0
    0.0493821067333       1.50996795781  -2.57480044795e-13   6.57145325728e-16    0.00985388547857                   0                   0                   0                   0
    0.0540212251463       1.41433150992  -2.44197748289e-13   6.33546513535e-16    0.00967498350625                   0                   0                   0                   0
    0.0583062436274       1.31833861465  -2.26906051726e-13   5.92834767081e-16    0.00951827957327                   0                   0                   0                   0
    0.0622641903209       1.22314307569  -2.07830887064e-13   5.50219897583e-16    0.00938253075813                   0                   0                   0                   0
     0.065920030336       1.12964329344  -1.87685331625e-13   5.02606367953e-16     0.0092663097844                   0                   0                   0                   0
    0.0692968232165       1.03852681684  -1.69405327504e-13   4.30795453774e-16    0.00916806188815                   0                   0                   0                   0
     0.072415868391      0.950307778127  -1.53046727992e-13   3.96939577833e-16    0.00908615042679                   0                   0                   0                   0
    0.0752968395209      0.865358312258  -1.23481847711e-13   5.71639928777e-16    0.00901890036724                   0                   0                   0                   0
     0.077957908594      0.783934857288  -7.02326214548e-14   6.42483287744e-16    0.00896464091701                   0                   0                   0                   0
    0.0804158605457      0.706200095027  -2.76176812578e-14   3.50211118657e-16    0.00892174544118                   0                   0                   0                   0
    0.0826861991319      0.632241192864  -1.54588195299e-14   1.47022438661e-16    0.00888866607594                   0                   0                   0                   0
      0.08478324472      0.562084928804  -1.35009646308e-14   1.34105778974e-16    0.00886396093365                   0                   0                   0                   0
    0.0867202246159         0.495710209  -1.08075410211e-14   1.23235797434e-16    0.00884631285359                   0                   0                   0                   0
    0.0885093564966      0.433058415623  -7.91424880072e-15    1.0520778696e-16    0.00883453975294                   0                   0                   0                   0
    0.0901619254745      0.374041953844  -5.80862066438e-15   8.37715244072e-17    0.00882759752192                   0                   0                   0                   0
     0.091688355279      0.318551303495  -4.27650694262e-15   7.23943241576e-17    0.00882457691733                   0                   0                   0                   0
    0.0930982740049      0.266460825986  -2.58239672187e-15   6.25150352774e-17    0.00882469608396                   0                   0                   0                   0
    0.0944005748429       0.21763353163   -1.4317846461e-15   4.40197316667e-17    0.00882729025116                   0                   0                   0                   0
    0.0956034721744      0.171924976313  -1.09058452572e-15   3.22122143861e-17    0.00883179992791                   0                   0                   0                   0
    0.0967145533837      0.129186427757  -7.65228636379e-16   2.58919838501e-17    0.00883775860546                   0                   0                   0                   0
    0.0977408267166     0.0892674187148  -4.46733929011e-16   1.73264434534e-17    0.00884478070535                   0                   0                   0                   0
    0.0986887654857     0.0520177861885  -2.26528208883e-16   1.05871620412e-17    0.00885255023874                   0                   0                   0                   0
    0.0995643489011     0.0242645758695  -4.33559168934e-17   3.88396123757e-18    0.00999643266361   -0.00147999023857  -1.98167599333e-18   -3.4326453967e-20    0.00109872316103
